gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,14,One year,Fiber optic,Credit card (automatic),Yes,103.97,1412.79,Yes
Female,0,Yes,No,13,Month-to-month,Fiber optic,Mailed check,Yes,73.43,1050.95,No
Male,0,Yes,No,64,Month-to-month,DSL,Bank transfer (automatic),Yes,85.17,5377.27,Yes
Female,0,No,Yes,8,Month-to-month,DSL,Credit card (automatic),No,59.92,438.42,No
Female,1,Yes,Yes,10,Month-to-month,Fiber optic,Mailed check,Yes,61.5,640.48,Yes
Female,0,No,No,37,Two year,DSL,Electronic check,Yes,41.27,1503.47,Yes
Male,0,Yes,Yes,42,One year,Fiber optic,Electronic check,No,94.24,3965.83,Yes
Male,1,Yes,No,3,Month-to-month,Fiber optic,Electronic check,No,86.55,331.14,No
Female,0,No,No,27,Two year,No,Electronic check,Yes,52.79,1457.97,No
Male,0,Yes,No,16,Month-to-month,DSL,Bank transfer (automatic),Yes,45.62,706.53,No
Female,0,Yes,Yes,22,Month-to-month,Fiber optic,Mailed check,No,86.42,1894.6,Yes
Male,1,No,No,13,Two year,DSL,Electronic check,No,60.08,807.59,No
Female,0,No,No,49,Two year,No,Electronic check,No,33.28,1662.66,No
Female,1,No,No,34,One year,Fiber optic,Mailed check,No,80.41,2734.93,Yes
Male,0,Yes,No,70,Month-to-month,Fiber optic,Mailed check,No,80.65,5663.36,Yes
Male,0,Yes,Yes,0,Two year,Fiber optic,Credit card (automatic),Yes,87.1,18.08,No
Female,0,No,No,56,One year,DSL,Bank transfer (automatic),Yes,63.63,3558.72,No
Male,0,Yes,No,66,One year,Fiber optic,Bank transfer (automatic),Yes,88.03,5779.78,No
Female,0,Yes,No,35,Month-to-month,No,Bank transfer (automatic),No,49.47,1768.64,No
Male,0,No,No,51,Month-to-month,DSL,Credit card (automatic),Yes,45.58,2339.41,No
Female,1,Yes,No,32,Two year,No,Mailed check,Yes,18.0,471.95,No
Female,0,Yes,No,43,Two year,No,Electronic check,Yes,47.2,1988.46,No
Male,0,Yes,No,66,One year,No,Bank transfer (automatic),No,23.68,1538.69,No
Female,0,Yes,No,38,Month-to-month,No,Electronic check,No,30.45,1146.9,Yes
Male,0,No,No,42,One year,DSL,Electronic check,Yes,52.65,2271.7,No
Female,0,No,Yes,72,Month-to-month,Fiber optic,Credit card (automatic),Yes,77.4,5732.76,No
Male,0,Yes,No,36,Month-to-month,DSL,Bank transfer (automatic),No,42.5,1407.09,No
Male,0,Yes,No,12,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,78.17,953.21,Yes
Male,0,No,Yes,49,Month-to-month,DSL,Bank transfer (automatic),No,67.79,3325.29,Yes
Male,1,Yes,No,50,One year,No,Bank transfer (automatic),Yes,34.95,1738.62,No
Male,0,No,No,17,Month-to-month,DSL,Mailed check,No,66.05,1150.07,Yes
Female,0,No,No,53,Month-to-month,DSL,Electronic check,Yes,54.05,2871.98,Yes
Male,0,No,No,4,Two year,DSL,Mailed check,No,70.83,265.26,No
Female,0,Yes,Yes,23,One year,Fiber optic,Credit card (automatic),Yes,78.9,1816.15,No
Male,1,No,Yes,62,Month-to-month,DSL,Credit card (automatic),Yes,34.7,2179.06,Yes
Male,1,Yes,No,45,Month-to-month,DSL,Electronic check,No,63.8,2894.05,No
Female,1,No,No,44,One year,DSL,Bank transfer (automatic),Yes,69.21,3054.61,No
Female,0,No,No,45,Month-to-month,DSL,Mailed check,No,53.29,2368.84,No
Male,0,No,No,12,Month-to-month,No,Bank transfer (automatic),Yes,49.39,733.64,No
Male,0,No,Yes,70,Month-to-month,Fiber optic,Electronic check,Yes,74.79,5253.39,No
Female,0,No,Yes,21,Month-to-month,DSL,Electronic check,No,68.05,1467.15,No
Female,0,Yes,No,57,One year,DSL,Electronic check,Yes,80.94,4588.04,No
Female,0,Yes,Yes,72,Month-to-month,DSL,Electronic check,No,60.44,4361.21,No
Male,1,No,No,17,Month-to-month,Fiber optic,Electronic check,Yes,82.28,1407.88,Yes
Male,0,No,No,46,Month-to-month,DSL,Mailed check,Yes,58.73,2606.07,No
Female,0,Yes,No,3,Month-to-month,DSL,Bank transfer (automatic),No,79.54,202.79,No
Female,0,No,No,46,Month-to-month,DSL,Credit card (automatic),Yes,64.83,2945.58,Yes
Male,0,No,Yes,32,Two year,DSL,Bank transfer (automatic),Yes,85.73,2713.35,No
Male,0,Yes,Yes,5,Month-to-month,Fiber optic,Electronic check,Yes,88.35,388.26,Yes
Male,0,Yes,Yes,49,Month-to-month,DSL,Mailed check,Yes,52.15,2557.76,Yes
Female,1,Yes,No,70,Month-to-month,Fiber optic,Mailed check,No,78.0,5529.72,No
Male,0,Yes,No,6,One year,Fiber optic,Electronic check,Yes,85.74,520.96,No
Male,0,Yes,No,65,Month-to-month,No,Credit card (automatic),Yes,18.0,1110.94,No
Male,0,Yes,Yes,61,Two year,DSL,Bank transfer (automatic),Yes,54.3,3260.76,No
Female,0,Yes,No,39,One year,No,Mailed check,Yes,29.57,1134.24,No
Male,0,Yes,Yes,65,Month-to-month,No,Mailed check,Yes,37.88,2391.26,No
Male,0,No,No,22,One year,No,Mailed check,Yes,58.3,1297.86,No
Male,0,Yes,No,52,Month-to-month,No,Mailed check,No,35.66,1921.86,No
Male,0,No,Yes,50,Two year,DSL,Bank transfer (automatic),No,36.93,1817.61,No
Female,0,No,No,42,Two year,No,Credit card (automatic),Yes,24.03,1013.2,No
Male,0,No,Yes,60,Month-to-month,No,Mailed check,Yes,38.15,2267.4,No
Male,0,No,No,63,One year,DSL,Electronic check,Yes,61.12,3818.82,No
Female,1,No,No,57,Month-to-month,DSL,Credit card (automatic),Yes,79.49,4540.61,No
Male,0,Yes,No,42,Month-to-month,No,Mailed check,Yes,46.52,1920.71,No
Female,0,No,No,71,One year,DSL,Electronic check,No,71.16,5012.04,No
Female,1,Yes,No,40,Two year,Fiber optic,Bank transfer (automatic),No,82.39,3214.81,No
Male,0,No,Yes,46,Month-to-month,Fiber optic,Credit card (automatic),Yes,98.19,4519.94,Yes
Female,0,No,No,13,One year,Fiber optic,Mailed check,Yes,74.25,1018.59,No
Male,0,Yes,No,23,One year,DSL,Mailed check,No,71.62,1682.61,No
Female,0,Yes,Yes,66,Month-to-month,Fiber optic,Mailed check,No,81.61,5460.92,No
Male,0,No,No,36,One year,Fiber optic,Credit card (automatic),Yes,67.62,2400.74,No
Female,1,Yes,No,37,One year,No,Credit card (automatic),No,42.12,1600.94,No
Female,0,Yes,No,59,One year,DSL,Credit card (automatic),Yes,76.77,4474.33,No
Female,0,Yes,Yes,23,Two year,DSL,Electronic check,No,55.12,1303.24,No
Male,0,Yes,No,19,Month-to-month,DSL,Credit card (automatic),Yes,78.75,1578.52,No
Male,0,No,No,0,Month-to-month,DSL,Mailed check,No,40.13,24.92,No
Male,0,No,Yes,16,Month-to-month,No,Credit card (automatic),Yes,20.64,413.31,No
Male,0,Yes,Yes,37,Month-to-month,DSL,Credit card (automatic),Yes,58.24,2124.92,No
Female,0,Yes,No,52,Month-to-month,DSL,Bank transfer (automatic),No,55.55,2881.93,No
Male,0,Yes,No,24,Two year,No,Credit card (automatic),No,26.99,602.08,No
Female,0,Yes,No,32,Month-to-month,DSL,Electronic check,No,61.6,1973.07,No
Female,0,No,Yes,16,One year,DSL,Bank transfer (automatic),Yes,53.66,871.99,No
Male,0,No,No,59,Month-to-month,Fiber optic,Electronic check,No,80.69,4762.15,Yes
